name,description,type,sub_type,attribute,attack,defense,price,volatility,index,index_market,join_id,set_id,set_name,set_release,rarity,rank,name_official,price_missing
Number 105: Battlin' Boxer Star Cestus,"3 Level 4 monstersOnce per Chain, during the Battle Step, if your ""Battlin' Boxer"" monster battles an opponent's monster (Quick Effect): You can detach 1 material from this card; negate the effects of that opponent's monster while it is face-up until the end of this turn, that monster you control cannot be destroyed by that battle, also your opponent takes any battle damage you would have taken from that battle.",MONSTER,[Warrior／Xyz／Effect],FIRE,2500,1600,2.85,,10532,509968,LD10-EN042C,LD10-EN042,2014 MEGA-TINS MEGA PACK,2013-05-17,SR Super Rare,4,Number 105: Battlin' Boxer Star Cestus,False
Number 106: Giant Hand,"2 Level 4 monstersWhen a monster effect is activated on your opponent's field (Quick Effect): You can detach 2 materials from this card, then target 1 Effect Monster your opponent controls; while this monster is face-up on the field, that Effect Monster's effects are negated, also it cannot change its battle position.",MONSTER,[Rock／Xyz／Effect],EARTH,2000,2000,63.2788,,10457,627027,RA04-EN066SR,RA04-EN066,QUARTER CENTURY STAMPEDE,2025-04-11,SR Super Rare,4,Number 106: Giant Hand,False
Number 107: Galaxy-Eyes Tachyon Dragon,"2 Level 8 monstersOnce per Battle Phase, at the start of your Battle Phase: You can detach 1 material from this card; negate the effects of all other face-up monsters currently on the field, also their ATK/DEF become their original ATK/DEF. During the Battle Phase, if you activated this effect this turn, each time an opponent's card effect resolves, this card gains 1000 ATK until the end of the Battle Phase, also, it can make a second attack during each Battle Phase this turn.",MONSTER,[Dragon／Xyz／Effect],LIGHT,3000,2500,7.5689,,10525,627032,RA04-EN067QCSE,LTGY-EN044,LORD OF THE TACHYON GALAXY,2013-05-17,UR Ultra Rare,8,Number 107: Galaxy-Eyes Tachyon Dragon,False
Number 10: Illumiknight,"3 Level 4 monstersOnce per turn: You can detach 1 Xyz Material from this card; send 1 card from your hand to the Graveyard, and if you do, draw 1 card.",MONSTER,[Warrior／Xyz／Effect],LIGHT,2400,2400,0.7533,,9759,91970,BP03-EN118SH,PHSW-EN041,PHOTON SHOCKWAVE,2011-11-15,C Common,4,Number 10: Illumiknight,False
Number 11: Big Eye,"2 Level 7 monstersOnce per turn: You can detach 1 material from this card, then target 1 monster your opponent controls; take control of that monster. This card cannot attack the turn this effect is activated.",MONSTER,[Spellcaster／Xyz／Effect],DARK,2600,2000,7.4025,,9861,651533,MP25-EN133PSE,RA04-EN062,QUARTER CENTURY STAMPEDE,2025-04-11,SE Secret Rare,7,Number 11: Big Eye,False
Number 12: Crimson Shadow Armor Ninja,"2 Level 5 monstersOnce per turn, during either player's turn: You can detach 1 Xyz Material from this card; this turn, face-up ""Ninja"" monsters you control cannot be destroyed by battle or by card effects.",MONSTER,[Warrior／Xyz／Effect],EARTH,2400,1700,2.6675,,9916,77506,SP13-EN030C,ORCS-EN042,ORDER OF CHAOS,2012-01-24,C Common,5,Number 12: Crimson Shadow Armor Ninja,False
Number 13: Embodiment of Crime,"2 Level 1 monstersOnce per turn, during either player's turn: You can detach 1 Xyz Material from this card; change all monsters your opponent controls to face-up Attack Position, also all monsters your opponent currently controls must attack this card this turn, if able. While you control ""Number 31: Embodiment of Punishment"", this card gains these effects.●This card cannot be destroyed by battle or by card effects while it has Xyz Material.●Your opponent takes any battle damage you would have taken from attacks on this card.",MONSTER,[Fiend／Xyz／Effect],DARK,500,500,4.2,,11018,81655,PGLD-EN023GSE,PGLD-EN023,PREMIUM GOLD,2014-03-28,GSE Gold Secret,1,Number 13: Embodiment of Crime,False
Number 14: Greedy Sarameya,"2 Level 5 monstersYour opponent takes any effect damage you would have taken from their card effects, instead. When this card destroys an opponent's monster by battle and sends it to the Graveyard: You can detach 1 Xyz Material from this card; destroy all monsters on the field whose current ATK is less than or equal to the original ATK of the destroyed monster in the Graveyard.",MONSTER,[Beast／Xyz／Effect],DARK,2500,1500,0.47,,11653,96982,PGL2-EN017GSE,PGL2-EN017,PREMIUM GOLD: RETURN OF THE BLING,2015-03-20,GSE Gold Secret,5,Number 14: Greedy Sarameya,False
Number 15: Gimmick Puppet Giant Grinder,"2 Level 8 monstersUp to twice per turn, during your Main Phase 1: You can detach 1 material from this card, then target 1 Special Summoned monster your opponent controls; destroy it, then if it was an Xyz Monster, inflict damage to your opponent equal to its original ATK.",MONSTER,[Machine／Xyz／Effect],DARK,1500,2500,0.955,,10130,579508,MP24-EN032QCSE,MP24-EN032,25TH ANNIVERSARY TIN: DUELING MIRRORS,2013-07-12,QCSE Quarter Century Secret Rare,8,Number 15: Gimmick Puppet Giant Grinder,False
Number 16: Shock Master,"3 Level 4 monstersOnce per turn: You can detach 1 Xyz Material from this card to declare 1 card type (Monster, Spell, or Trap); that type of card (if Spell or Trap) cannot be activated, or (if Monster) cannot activate its effects, until the end of your opponent's next turn.",MONSTER,[Fairy／Xyz／Effect],LIGHT,2300,1600,5.93,,9860,627404,RA04-EN166PS,RA04-EN166,QUARTER CENTURY STAMPEDE,2025-04-11,PS Platinum Secret Rare,4,Number 16: Shock Master,False
Number 17: Leviathan Dragon,2 Level 3 monstersCannot attack directly unless it has material. Once per turn: You can detach 1 material from this card; it gains 500 ATK.,MONSTER,[Dragon／Xyz／Effect],WATER,2000,0,4.9236,,9656,627380,RA04-EN154PS,DL15-EN012,DUELIST LEAGUE 15,2012-12-15,R Rare,3,Number 17: Leviathan Dragon,False
Number 18: Heraldry Patriarch,"2 Level 4 monstersOnce per Chain, if 2 or more monsters with the same name are on the field (Quick Effect): You can detach 1 material from this card; choose 1 monster among those with the same name, and destroy all other monsters with that name. Your opponent cannot Summon monsters with the same name as any of the monster(s) chosen for this card's effect. If this card is sent to the GY: You can send 2 ""Heraldic Beast"" monsters from your Deck to the GY.",MONSTER,[Psychic／Xyz／Effect],LIGHT,2200,2200,0.655,,10975,638120,OP28-EN021C,OP28-EN021,OTS TOURNAMENT PACK 28,2015-04-17,C Common,4,Number 18: Heraldry Patriarch,False
Number 19: Freezadon,"2 Level 5 monstersOnce per turn, if an Xyz Monster you control would activate an effect by detaching an Xyz Material(s), you can detach 1 Xyz Material from this card instead of 1 of those Xyz Materials.",MONSTER,[Dinosaur／Xyz／Effect],WATER,2000,2500,1.46,,9854,67760,ZTIN-EN003UR,ZTIN-EN003,ZEXAL COLLECTION TIN,2013-03-08,UR Ultra Rare,5,Number 19: Freezadon,False
Number 1: Infection Buzzking,"2+ Level 8 monstersOnce per turn, during your Standby Phase: You can attach 1 card from your opponent's GY to this card as material. You can only use each of the following effects of ""Number 1: Infection Buzzking"" once per turn. If this card is Xyz Summoned: You can look at your opponent's Extra Deck and send 1 card from it to the GY. You can detach 1 material from this card, then target 1 card your opponent controls; destroy it, then if you destroyed a face-up monster, inflict damage to your opponent equal to half the ATK it had on the field.",MONSTER,[Fiend／Xyz／Effect],DARK,3000,2500,13.19,,19034,532239,MZMI-EN023UR,MZMI-EN023,MAZE OF MILLENNIA,2024-01-19,CR COLLECTOR'S RARE,8,Number 1: Infection Buzzking,False
Number 1: Numeron Gate Ekam,"3 Level 1 monstersCannot be destroyed by battle. At the end of the Damage Step, if this card battled an opponent's monster: You can detach 1 material from this card; double the ATK of all ""Numeron"" monsters you currently control, until the end of this turn.",MONSTER,[Machine／Xyz／Effect],LIGHT,1000,100,0.17,,15380,217965,BLAR-EN022UR,BLAR-EN022,BATTLES OF LEGEND: ARMAGEDDON,2020-07-24,UR Ultra Rare,1,Number 1: Numeron Gate Ekam,False
Number 20: Giga-Brilliant,2 Level 3 monstersOnce per turn: You can detach 1 material from this card; all monsters you currently control gain 300 ATK.,MONSTER,[Insect／Xyz／Effect],LIGHT,1800,1800,0.585,,9760,533157,STAX-EN042UR,BP03-EN119,2-PLAYER STARTER SET,2011-11-15,SH Shatterfoil,3,Number 20: Giga-Brilliant,False
Number 21: Frozen Lady Justice,"2 Level 6 monstersYou can also Xyz Summon this card by detaching 1 Xyz Material from a Rank 5 Xyz Monster you control, then using that Xyz Monster as the Xyz Material. (Xyz Materials attached to that monster also become Xyz Materials on this card.) This card gains 1000 ATK for each Xyz Material attached to it. Once per turn: You can detach 1 Xyz Material from this card; destroy all Defense Position monsters your opponent controls.",MONSTER,[Aqua／Xyz／Effect],WATER,500,500,0.87,,11654,96983,PGL2-EN018GSE,PGL2-EN018,PREMIUM GOLD: RETURN OF THE BLING,2015-03-20,GSE Gold Secret,6,Number 21: Frozen Lady Justice,False
Number 22: Zombiestein,"2 Level 8 DARK monstersMust be Xyz Summoned. Once per turn (Quick Effect): You can detach 1 material from this card and send 1 card from your hand to the GY, then target 1 face-up card your opponent controls; change this card to Defense Position, and if you do, negate that targeted card's effects, until the end of this turn.",MONSTER,[Zombie／Xyz／Effect],DARK,4500,1000,2.0867,,10331,450457,OP20-EN019C,OP20-EN019,OTS TOURNAMENT PACK 20,2013-06-04,C Common,8,Number 22: Zombiestein,False
"Number 23: Lancelot, Dark Knight of the Underworld","2 Level 8 monstersThis card can attack your opponent directly while it has Xyz Material. When this card inflicts battle damage to your opponent: You can target 1 face-up monster your opponent controls; destroy it. Once per turn, during either player's turn, when a Spell/Trap Card, or another monster's effect, is activated: Detach 1 Xyz Material from this card; negate the activation.",MONSTER,[Zombie／Xyz／Effect],DARK,2000,1500,6.76,,11459,114447,BOSH-ENSE2SR,BOSH-ENSE2,BREAKERS OF SHADOW SPECIAL EDITION,2015-09-01,SR Super Rare,8,"Number 23: Lancelot, Dark Knight of the Underworld",False
Number 24: Dragulas the Vampiric Dragon,"2 Level 6 monstersOnce per turn (Quick Effect): You can detach 1 material from this card, then target 1 face-up monster on the field that was Special Summoned from the Extra Deck; change it to face-down Defense Position. If this face-up card in its owner's control is sent to your GY or banished by your opponent's card effect: You can Special Summon this card in face-down Defense Position. If this card is flipped face-up: Send 1 card on the field to the GY.",MONSTER,[Wyrm／Xyz／Effect],DARK,2400,2800,1.186,,12545,221687,DLCS-EN118UR,DLCS-EN118,DRAGONS OF LEGEND: THE COMPLETE SERIES,2020-09-11,UR Ultra Rare,6,Number 24: Dragulas the Vampiric Dragon,False
Number 25: Force Focus,"2 Level 6 monstersOnce per turn, during either player's turn: You can detach 1 Xyz Material from this card, then target 1 Level 5 or higher Effect Monster your opponent controls; negate the effects of that opponent's face-up monster, until the end of the turn.",MONSTER,[Machine／Xyz／Effect],LIGHT,2800,2400,2.0025,,10068,79893,SP14-EN026C,GAOV-EN045,GALACTIC OVERLORD,2012-05-08,C Common,6,Number 25: Force Focus,False
Number 26: Spaceway Octobypass,"2 Level 3 monstersAt the start of the Battle Phase: You can detach 1 material from this card; during this Battle Phase, a player can only attack with 1 monster, and its attack(s) becomes a direct attack. You can only use this effect of ""Number 26: Spaceway Octobypass"" once per turn. At the end of the Damage Step, if a monster inflicted battle damage by a direct attack: Give control of the monster that attacked to the turn player's opponent.",MONSTER,[Psychic／Xyz／Effect],LIGHT,800,2400,0.61,,14563,193614,BLHR-EN027UR,BLHR-EN027,BATTLES OF LEGEND: HERO'S REVENGE,2019-07-12,UR Ultra Rare,3,Number 26: Spaceway Octobypass,False
Number 27: Dreadnought Dreadnoid,"2+ Level 4 monstersAt the end of the Battle Phase, if this card destroyed an opponent's monster by battle: You can Special Summon from your Extra Deck, 1 Rank 10 or higher Machine Xyz Monster by using this face-up card you control as material. (This is treated as an Xyz Summon. Transfer its materials to the Summoned monster.) You can only use this effect of ""Number 27: Dreadnought Dreadnoid"" once per turn. If this face-up card on the field would be destroyed by battle or card effect, you can detach 1 material from this card instead.",MONSTER,[Machine／Xyz／Effect],WATER,2200,1000,1.81,,13823,538581,BLC1-EN109C,BLC1-EN109,BATTLES OF LEGEND - CHAPTER 1,2018-06-29,C Common,4,Number 27: Dreadnought Dreadnoid,False
Number 28: Titanic Moth,"2 Level 7 monstersIf you control no other monsters, this card can attack directly, but when it does so using this effect, the battle damage inflicted to your opponent is halved. When this card inflicts battle damage to your opponent: You can detach 1 material from this card; inflict 500 damage to your opponent for each card in their hand.",MONSTER,[Insect／Xyz／Effect],FIRE,2400,2200,0.2,,12890,505919,OP22-EN020C,OP22-EN020,OTS TOURNAMENT PACK 22,2023-07-19,C Common,7,Number 28: Titanic Moth,False
Number 29: Mannequin Cat,"2 Level 2 monstersOnce per turn: You can detach 1 material from this card, then target 1 monster in your opponent's GY; Special Summon it to your opponent's field. If a monster(s) is Special Summoned to your opponent's field, while you control this monster (except during the Damage Step): You can target 1 face-up monster your opponent controls; Special Summon 1 monster with the same Type or Attribute from your hand, Deck, or GY. You can only use this effect of ""Number 29: Mannequin Cat"" once per turn.",MONSTER,[Beast／Xyz／Effect],LIGHT,2000,900,0.26,,13162,482436,OP21-EN009SR,OP21-EN009,OTS TOURNAMENT PACK 21,2019-07-27,C Common,2,Number 29: Mannequin Cat,False
Number 2: Ninja Shadow Mosquito,"2+ Level 2 monstersCannot be destroyed by battle, also you take no damage from battles involving this card. All monsters your opponent controls must attack, if able. When an attack is declared: You can activate 1 of these effects;●Detach 1 material from this card, and if you do, place 1 Hallucination Counter on 1 face-up monster your opponent controls. (The effects, if any, of monsters with Hallucination Counters are negated.)●Inflict damage to your opponent equal to the ATK of 1 monster with a Hallucination Counter.",MONSTER,[Insect／Xyz／Effect],WIND,0,0,0.71,,17645,651690,MP25-EN291UR,BLCR-EN029,2025 MEGA-PACK TIN,2022-11-18,SE Secret Rare,2,Number 2: Ninja Shadow Mosquito,False
Number 2: Numeron Gate Dve,"3 Level 1 monstersCannot be destroyed by battle. At the end of the Damage Step, if this card battled an opponent's monster: You can detach 1 material from this card; double the ATK of all ""Numeron"" monsters you currently control, until the end of this turn.",MONSTER,[Machine／Xyz／Effect],LIGHT,1000,100,0.27,,15381,217966,BLAR-EN023UR,BLAR-EN023,BATTLES OF LEGEND: ARMAGEDDON,2020-07-24,UR Ultra Rare,1,Number 2: Numeron Gate Dve,False
Number 30: Acid Golem of Destruction,"2 Level 3 monstersDuring your Standby Phase: Detach 1 Xyz Material from this card or take 2000 damage. You cannot Special Summon any monsters. While this card has no Xyz Materials, it cannot attack.",MONSTER,[Rock／Xyz／Effect],WATER,3000,3000,1.6025,,9858,627402,RA04-EN165PS,RA04-EN165,QUARTER CENTURY STAMPEDE,2025-04-11,C Common,3,Number 30: Acid Golem of Destruction,False
Number 31: Embodiment of Punishment,"2 Level 1 monstersOnce per turn, during either player's turn: You can detach 1 Xyz Material from this card; change all monsters your opponent controls to face-up Attack Position, also all monsters your opponent currently controls must attack this card this turn, if able. While you control ""Number 13: Embodiment of Crime"", this card gains these effects.●This card cannot be destroyed by battle or by card effects while it has Xyz Material.●Your opponent takes any battle damage you would have taken from attacks on this card.",MONSTER,[Fiend／Xyz／Effect],DARK,500,500,4.63,,11019,81656,PGLD-EN024GSE,PGLD-EN024,PREMIUM GOLD,2014-03-28,GSE Gold Secret,1,Number 31: Embodiment of Punishment,False
Number 32: Shark Drake,"3 Level 4 monstersOnce per turn, when this attacking card destroys an opponent's monster by battle and sends it to the GY: You can detach 1 material from this card; Special Summon the destroyed monster to your opponent's field in Attack Position (but it loses 1000 ATK), and if you do, this card can make a second attack during this Battle Phase.",MONSTER,[Sea Serpent／Xyz／Effect],WATER,2800,2100,3.2243,,10065,579509,MP24-EN033QCSE,GAOV-EN042,GALACTIC OVERLORD,2012-05-08,C Common,4,Number 32: Shark Drake,False
Number 33: Chronomaly Machu Mech,"2 Level 5 monstersOnce per turn: You can detach 1 Xyz Material from this card to target 1 face-up monster your opponent controls; inflict damage to your opponent equal to the difference between its original ATK and current ATK, and if you do, this card gains ATK equal to the damage inflicted.",MONSTER,[Machine／Xyz／Effect],LIGHT,2400,1500,11.47,,10173,60193,REDU-EN043UR,REDU-EN043,RETURN OF THE DUELIST,2012-08-28,UL Ultimate Rare,5,Number 33: Chronomaly Machu Mech,False
Number 34: Terror-Byte,3 Level 3 monstersOnce per turn: You can detach 1 Xyz Material from this card to target 1 Level 4 or lower Attack Position monster your opponent controls; gain control of it until the End Phase.,MONSTER,[Machine／Xyz／Effect],DARK,0,2900,0.97,,9658,77501,SP13-EN025C,GENF-EN041,GENERATION FORCE,2011-08-16,C Common,3,Number 34: Terror-Byte,False
Number 35: Ravenous Tarantula,"2 Level 10 monstersAll monsters you control gain ATK and DEF equal to the difference between your LP and your opponent's. While this card has Xyz Material, each time your opponent Special Summons a monster(s), inflict 600 damage to your opponent. Once per turn: You can detach 1 Xyz Material from this card; destroy all face-up monsters your opponent controls with ATK less than or equal to this card's.",MONSTER,[Insect／Xyz／Effect],DARK,0,0,5.81,,12261,115793,PGL3-EN009GSE,PGL3-EN009,PREMIUM GOLD: INFINITE GOLD,2016-03-18,GSE Gold Secret,10,Number 35: Ravenous Tarantula,False
Number 36: Chronomaly Chateau Huyuk,"2 Level 4 ""Chronomaly"" monstersOnce per turn, during either player's turn: You can detach 1 Xyz Material from this card, then target 1 face-up monster your opponent controls; change its ATK to 0 until the end of this turn. You can Tribute 1 ""Chronomaly"" monster, then target 1 monster your opponent controls, whose current ATK is different from its original ATK; destroy that target.",MONSTER,[Machine／Xyz／Effect],LIGHT,2000,2500,0.29,,10973,97844,WSUP-EN002SR,WSUP-EN002,WORLD SUPERSTARS,2015-04-17,SR Super Rare,4,Number 36: Chronomaly Chateau Huyuk,False
Number 37: Hope Woven Dragon Spider Shark,"2 Level 4 WATER monstersWhen any player's monster declares an attack: You can detach 1 Xyz Material from this card; all monsters your opponent currently controls lose 1000 ATK until the end of this turn. When this card is destroyed by battle or card effect and sent to the Graveyard: You can target 1 other monster in your Graveyard; Special Summon it. You can only use each effect of ""Number 37: Hope Woven Dragon Spider Shark"" once per turn.",MONSTER,[Sea Serpent／Xyz／Effect],WATER,2600,2100,4.96,,12259,115791,PGL3-EN007GSE,PGL3-EN007,PREMIUM GOLD: INFINITE GOLD,2016-03-18,GSE Gold Secret,4,Number 37: Hope Woven Dragon Spider Shark,False
Number 38: Hope Harbinger Dragon Titanic Galaxy,"2 Level 8 monstersOnce per turn, when a Spell Card or effect is activated on the field (Quick Effect): You can negate that effect, and if you do, attach that card to this card as material. When an opponent's monster declares an attack: You can detach 1 material from this card; change the attack target to this card and perform damage calculation. If another face-up Xyz Monster(s) you control is destroyed by battle or card effect: You can target 1 face-up Xyz Monster you control; it gains ATK equal to 1 of those destroyed monster's original ATK.",MONSTER,[Dragon／Xyz／Effect],LIGHT,3000,2500,1.4112,,12260,551094,RA02-EN036SR,RA02-EN036,25TH ANNIVERSARY RARITY COLLECTION 2,2024-05-24,SR Super Rare,8,Number 38: Hope Harbinger Dragon Titanic Galaxy,False
Number 39: Utopia,"2 Level 4 monstersWhen a monster declares an attack: You can detach 1 material from this card; negate the attack. If this card is targeted for an attack, while it has no material: Destroy this card.",MONSTER,[Warrior／Xyz／Effect],LIGHT,2500,2000,6.9347,,9575,538511,BLC1-EN039UR,DL14-EN010,DUELIST LEAGUE 14,2012-06-01,R Rare,4,Number 39: Utopia,False
Number 39: Utopia Beyond,"2 Level 6 monstersIf this card is Xyz Summoned: The ATK of all monsters your opponent currently controls become 0. Once per turn (Quick Effect): You can detach 1 material from this card, then target 1 face-up Xyz Monster you control and 1 ""Utopia"" monster in your GY; banish the first target, and if you do, Special Summon the second target, then gain 1250 LP.",MONSTER,[Warrior／Xyz／Effect],LIGHT,3000,2500,1.36,,11132,105356,MP15-EN188SR,MP15-EN188,2015 MEGA-TINS MEGA PACK,2014-11-07,SR Super Rare,6,Number 39: Utopia Beyond,False
Number 39: Utopia Double,"2 Level 4 monsters(Quick Effect): You can detach 1 material from this card; add 1 ""Double or Nothing!"" from your Deck to your hand, then Special Summon from your Extra Deck, 1 ""Utopia"" Xyz Monster, except ""Number 39: Utopia Double"", by using this face-up card you control as material, and if you do, its ATK becomes doubled, but it cannot attack directly. (This is treated as an Xyz Summon. Transfer its materials to the Summoned monster.) You can only use this effect of ""Number 39: Utopia Double"" once per turn.",MONSTER,[Warrior／Xyz／Effect],LIGHT,0,2500,1.38,,14220,579507,MP24-EN031QCSE,DUPO-EN008,25TH ANNIVERSARY TIN: DUELING MIRRORS,2019-04-03,QCSE Quarter Century Secret Rare,4,Number 39: Utopia Double,False
Number 39: Utopia Rising,"2 Level 4 monstersIf this card is Special Summoned: You can target 1 ""Number"" Xyz Monster in your GY, except ""Number 39: Utopia Rising""; Special Summon it in Defense Position, then you can detach all materials from this card and attach them to that monster. If you Xyz Summon (except during the Damage Step): You can Special Summon this card from your GY, but banish it when it leaves the field. You can only use each effect of ""Number 39: Utopia Rising"" once per turn.",MONSTER,[Warrior／Xyz／Effect],LIGHT,0,2000,6.07,,17255,485544,MAZE-EN021SR,MAZE-EN021,MAZE OF MEMORIES,2023-03-10,CR COLLECTOR'S RARE,4,Number 39: Utopia Rising,False
Number 39: Utopia Roots,"2 Level 1 monstersWhen any player's monster declares an attack: You can detach 1 Xyz Material from this card; negate the attack, and if you negated an Xyz Monster's attack, this card gains ATK equal to that monster's Rank x 500.",MONSTER,[Warrior／Xyz／Effect],LIGHT,500,100,3.03,,10934,79016,LVAL-EN048R,LVAL-EN048,LEGACY OF THE VALIANT,2014-01-24,R Rare,1,Number 39: Utopia Roots,False
Number 3: Cicada King,"2 Level 3 monstersIf the battle position of this card is changed: You can Special Summon 1 Insect monster from your hand or GY in Defense Position. When a monster on the field activates its effect: You can detach 1 material from this card, then target that monster; negate its effects, then make 1 Insect monster on the field either gain 500 DEF, or change its battle position. You can only use each effect of ""Number 3: Cicada King"" once per turn.",MONSTER,[Insect／Xyz／Effect],WIND,1200,2500,0.93,,15386,217971,BLAR-EN028UR,BLAR-EN028,BATTLES OF LEGEND: ARMAGEDDON,2020-07-24,UR Ultra Rare,3,Number 3: Cicada King,False
Number 3: Numeron Gate Trini,"3 Level 1 monstersCannot be destroyed by battle. At the end of the Damage Step, if this card battled an opponent's monster: You can detach 1 material from this card; double the ATK of all ""Numeron"" monsters you currently control, until the end of this turn.",MONSTER,[Machine／Xyz／Effect],LIGHT,1000,100,0.22,,15382,217967,BLAR-EN024UR,BLAR-EN024,BATTLES OF LEGEND: ARMAGEDDON,2020-07-24,UR Ultra Rare,1,Number 3: Numeron Gate Trini,False
Number 40: Gimmick Puppet of Strings,"2 Level 8 monstersOnce per turn: You can detach 1 material from this card; place 1 String Counter on each face-up monster on the field, except this card. Once per turn, during the next End Phase of the opponent of the player who placed a String Counter(s) by this effect: Destroy the monsters with String Counters, and if you do, inflict 500 damage to your opponent for each monster destroyed.",MONSTER,[Machine／Xyz／Effect],DARK,3000,2000,2.3333,,10216,199656,LED5-EN043C,CT10-EN011,COLLECTIBLE TIN 2013 WAVE 1,2012-12-25,C Common,8,Number 40: Gimmick Puppet of Strings,False
Number 41: Bagooska the Terribly Tired Tapir,"2 Level 4 monstersOnce per turn, during your Standby Phase, detach 1 material from this card. If you cannot, destroy it. This Attack Position card cannot be destroyed by your opponent's card effects. Your opponent cannot target this Attack Position card with card effects. While this card is in face-up Defense Position, change all face-up monsters on the field to Defense Position, also negate the activated effects of monsters that were in Defense Position when that effect was activated.",MONSTER,[Fiend／Xyz／Effect],EARTH,2100,2000,2.8625,,13163,527072,VASM-EN044R,AC18-EN021,BATTLES OF LEGEND: RELENTLESS REVENGE,2017-10-20,UR Ultra Rare,4,Number 41: Bagooska the Terribly Tired Tapir,False
Number 42: Galaxy Tomahawk,"2 Level 7 monstersOnce per turn: You can detach 2 Xyz Materials from this card; Special Summon as many ""Battle Eagle Tokens"" (Machine-Type/WIND/Level 6/ATK 2000/DEF 0) as possible, destroy them during the End Phase of this turn, also your opponent takes no further battle damage this turn.",MONSTER,[Machine／Xyz／Effect],WIND,0,3000,0.33,,10480,105193,MP15-EN055C,MP15-EN055,2015 MEGA-TINS MEGA PACK,2014-05-16,C Common,7,Number 42: Galaxy Tomahawk,False
Number 43: Manipulator of Souls,"3 Level 2 DARK monstersOnce per turn: You can detach 1 Xyz Material from this card, then target 1 ""Number"" monster in your Graveyard; equip that target to this card. While equipped with a ""Number"" card, this card cannot be destroyed by battle or card effects. Once per turn, when you gain LP (except during the Damage Step): You can make this card gain an equal amount of ATK, also inflict that much damage to your opponent if this card is still face-up on the field.",MONSTER,[Fiend／Xyz／Effect],DARK,0,0,0.22,,11076,105163,MP15-EN025C,MP15-EN025,2015 MEGA-TINS MEGA PACK,2014-05-16,C Common,2,Number 43: Manipulator of Souls,False
Number 44: Sky Pegasus,"2 Level 4 monstersOnce per turn: You can detach 1 Xyz Material from this card, then target 1 face-up monster your opponent controls; destroy it, unless your opponent pays 1000 LP to negate this effect.",MONSTER,[Beast／Xyz／Effect],LIGHT,1800,1600,1.72,,10702,92016,BP03-EN130SH,BP03-EN130,BATTLE PACK 3 MONSTER LEAGUE,2013-07-12,SE Secret Rare,4,Number 44: Sky Pegasus,False
Number 45: Crumble Logos the Prophet of Demolition,"2+ Level 2 monstersOnce per turn: You can detach 1 material from this card, then target 1 other face-up card on the field; while this monster is face-up on the field, that target's effects are negated. While that target is on the field, cards with the same name as that target, and their effects, cannot be activated.",MONSTER,[Zombie／Xyz／Effect],EARTH,2200,0,0.638,,12546,221688,DLCS-EN119UR,DLCS-EN119,DRAGONS OF LEGEND: THE COMPLETE SERIES,2020-09-11,UR Ultra Rare,2,Number 45: Crumble Logos the Prophet of Demolition,False
Number 46: Dragluon,"2 Level 8 Dragon-Type monstersOnce per turn, if you control no other monsters: You can detach 1 Xyz Material from this card, then activate 1 of these effects.●Special Summon 1 Dragon-Type monster from your hand.●Target 1 Dragon-Type monster your opponent controls; take control of that target.●Dragon-Type monsters your opponent controls cannot activate their effects until the end of your opponent's tur",MONSTER,[Dragon／Xyz／Effect],LIGHT,3000,3000,19.255,,10781,72435,SHSP-EN050SR,SHSP-EN050,SHADOW SPECTERS,2013-11-08,SR Super Rare,8,Number 46: Dragluon,False
Number 47: Nightmare Shark,"2 Level 3 monstersWhen this card is Special Summoned: You can attach 1 Level 3 WATER monster from your hand or your side of the field to this card as an Xyz Material. Once per turn: You can detach 1 Xyz Material from this card, then target 1 WATER monster you control; this turn, that monster can attack your opponent directly, also other monsters cannot attack.",MONSTER,[Sea Serpent／Xyz／Effect],WATER,2000,2000,4.215,,10562,92545,CT11-EN004SR,CT11-EN004,2014 MEGA-TINS,2014-01-07,SR Super Rare,3,Number 47: Nightmare Shark,False
Number 48: Shadow Lich,"2 Level 3 monstersOnce per turn, during your opponent's turn: You can detach 1 Xyz Material from this card; Special Summon 1 ""Phantom Token"" (Fiend-Type/DARK/Level 1/ATK 500/DEF 500). (This is a Quick Effect.) While you control a ""Phantom Token"", your opponent cannot target this card for attacks. This card gains 500 ATK for each ""Phantom Token"" you control.",MONSTER,[Zombie／Xyz／Effect],DARK,1800,0,0.25,,10847,105194,MP15-EN056C,MP15-EN056,2015 MEGA-TINS MEGA PACK,2014-05-16,C Common,3,Number 48: Shadow Lich,False
Number 49: Fortune Tune,"2 Level 3 monstersNeither player can target this card on the field with card effects. If this card would be destroyed by battle or card effect, you can detach 1 material from this card instead. Once per turn, during your Standby Phase: Gain 500 LP. If this card is sent from the field to the GY: Target 2 Level 3 monsters in your GY; shuffle them both into the Deck, and if you do, return this card from your GY to the Extra Deck. You can only use this effect of ""Number 49: Fortune Tune"" once per turn.",MONSTER,[Winged Beast／Xyz／Effect],LIGHT,400,900,0.86,,10703,242875,KICO-EN048SR,KICO-EN048,KING'S COURT,2013-07-12,SE Secret Rare,3,Number 49: Fortune Tune,False
