name,description,type,sub_type,attribute,attack,defense,price,volatility,rank,set_id,Unnamed: 0,rarity,set_name,set_release,name_official,index,index_market,join_id,set_release_parsed,Decks
Number 106: Giant Hand,"2 Level 4 monstersWhen a monster effect is activated on your opponent's field (Quick Effect): You can detach 2 materials from this card, then target 1 Effect Monster your opponent controls; while this monster is face-up on the field, that Effect Monster's effects are negated, also it cannot change its battle position.",MONSTER,[Rock／Xyz／Effect],EARTH,2000.0,2000.0,,,,"['RA04-EN066', 'RA04-EN066', 'RA04-EN066', 'RA04-EN066', 'RA04-EN066', 'LED9-EN053', 'PGL3-EN075', 'YCSW-EN006', 'YCSW-EN006']",25586,SR Super Rare,QUARTER CENTURY STAMPEDE,2025-04-11,Number 106: Giant Hand,10457,627027,RA04-EN066SR,2025-04-11,"['RA04-EN066 (QUARTER CENTURY STAMPEDE)', 'RA04-EN066 (LEGENDARY DUELISTS: DUELS FROM THE DEEP)', 'RA04-EN066 (PREMIUM GOLD: INFINITE GOLD)', 'RA04-EN066 (Yu-Gi-Oh! CHAMPIONSHIP SERIES 2013)']"
Number 107: Galaxy-Eyes Tachyon Dragon,"2 Level 8 monstersOnce per Battle Phase, at the start of your Battle Phase: You can detach 1 material from this card; negate the effects of all other face-up monsters currently on the field, also their ATK/DEF become their original ATK/DEF. During the Battle Phase, if you activated this effect this turn, each time an opponent's card effect resolves, this card gains 1000 ATK until the end of the Battle Phase, also, it can make a second attack during each Battle Phase this turn.",MONSTER,[Dragon／Xyz／Effect],LIGHT,3000.0,2500.0,,,,"['RA04-EN067', 'MZTM-EN091', 'MZTM-EN091', 'BLC1-EN072', 'OP09-EN019', 'BLLR-EN067', 'MP14-EN024', 'LTGY-EN044', 'LTGY-EN044']",25595,QCSE Quarter Century Secret Rare,QUARTER CENTURY STAMPEDE,2025-04-11,Number 107: Galaxy-Eyes Tachyon Dragon,10525,627032,RA04-EN067QCSE,2025-04-11,"['RA04-EN067 (QUARTER CENTURY STAMPEDE)', 'MZTM-EN091 (MAZE OF THE MASTER)', 'MZTM-EN091 (BATTLES OF LEGEND - CHAPTER 1)', 'BLC1-EN072 (OTS TOURNAMENT PACK 9)', ""OP09-EN019 (BATTLES OF LEGEND -LIGHT'S REVENGE-)"", 'BLLR-EN067 (2014 MEGA-TINS MEGA PACK)', 'MP14-EN024 (LORD OF THE TACHYON GALAXY)']"
Number 10: Illumiknight,"3 Level 4 monstersOnce per turn: You can detach 1 Xyz Material from this card; send 1 card from your hand to the Graveyard, and if you do, draw 1 card.",MONSTER,[Warrior／Xyz／Effect],LIGHT,2400.0,2400.0,,,,"['BP03-EN118', 'SP13-EN026', 'SP13-EN026', 'PHSW-EN041', 'PHSW-EN041', 'CT08-EN004']",25604,SH Shatterfoil,BATTLE PACK 3 MONSTER LEAGUE,2014-08-01,Number 10: Illumiknight,9759,91970,BP03-EN118SH,2014-08-01,"['BP03-EN118 (BATTLE PACK 3 MONSTER LEAGUE)', 'SP13-EN026 (STAR PACK 2013)', 'SP13-EN026 (PHOTON SHOCKWAVE)', 'PHSW-EN041 (COLLECTIBLE TIN 2011 WAVE 2)']"
Number 11: Big Eye,"2 Level 7 monstersOnce per turn: You can detach 1 material from this card, then target 1 monster your opponent controls; take control of that monster. This card cannot attack the turn this effect is activated.",MONSTER,[Spellcaster／Xyz／Effect],DARK,2600.0,2000.0,,,,"['MP25-EN133', 'RA04-EN062', 'RA04-EN062', 'RA04-EN062', 'RA04-EN062', 'RA04-EN062', 'BLC1-EN001', 'BLLR-EN066', 'PGL3-EN063', 'AP06-EN002', 'BPW2-EN102', 'GAOV-EN090']",25610,PSE Prismatic Secret Rare,2025 MEGA-PACK TIN,2025-09-05,Number 11: Big Eye,9861,651533,MP25-EN133PSE,2025-09-05,"['MP25-EN133 (2025 MEGA-PACK TIN)', 'RA04-EN062 (QUARTER CENTURY STAMPEDE)', 'RA04-EN062 (BATTLES OF LEGEND - CHAPTER 1)', ""RA04-EN062 (BATTLES OF LEGEND -LIGHT'S REVENGE-)"", 'RA04-EN062 (PREMIUM GOLD: INFINITE GOLD)', 'RA04-EN062 (ASTRAL PACK SIX)', 'BLC1-EN001 (BATTLE PACK 2 WAR OF THE GIANTS ROUND 2)', 'BLLR-EN066 (GALACTIC OVERLORD)']"
Number 12: Crimson Shadow Armor Ninja,"2 Level 5 monstersOnce per turn, during either player's turn: You can detach 1 Xyz Material from this card; this turn, face-up ""Ninja"" monsters you control cannot be destroyed by battle or by card effects.",MONSTER,[Warrior／Xyz／Effect],EARTH,2400.0,1700.0,,,,"['SP13-EN030', 'SP13-EN030', 'ORCS-EN042', 'ORCS-EN042']",25622,C Common,STAR PACK 2013,2013-03-01,Number 12: Crimson Shadow Armor Ninja,9916,77506,SP13-EN030C,2013-03-01,"['SP13-EN030 (STAR PACK 2013)', 'SP13-EN030 (ORDER OF CHAOS)']"
Number 13: Embodiment of Crime,"2 Level 1 monstersOnce per turn, during either player's turn: You can detach 1 Xyz Material from this card; change all monsters your opponent controls to face-up Attack Position, also all monsters your opponent currently controls must attack this card this turn, if able. While you control ""Number 31: Embodiment of Punishment"", this card gains these effects.●This card cannot be destroyed by battle or by card effects while it has Xyz Material.●Your opponent takes any battle damage you would have taken from attacks on this card.",MONSTER,[Fiend／Xyz／Effect],DARK,500.0,500.0,,,,['PGLD-EN023'],25626,GSE Gold Secret,PREMIUM GOLD,2014-03-28,Number 13: Embodiment of Crime,11018,81655,PGLD-EN023GSE,2014-03-28,['PGLD-EN023 (PREMIUM GOLD)']
Number 14: Greedy Sarameya,"2 Level 5 monstersYour opponent takes any effect damage you would have taken from their card effects, instead. When this card destroys an opponent's monster by battle and sends it to the Graveyard: You can detach 1 Xyz Material from this card; destroy all monsters on the field whose current ATK is less than or equal to the original ATK of the destroyed monster in the Graveyard.",MONSTER,[Beast／Xyz／Effect],DARK,2500.0,1500.0,,,,['PGL2-EN017'],25627,GSE Gold Secret,PREMIUM GOLD: RETURN OF THE BLING,2015-03-20,Number 14: Greedy Sarameya,11653,96982,PGL2-EN017GSE,2015-03-20,['PGL2-EN017 (PREMIUM GOLD: RETURN OF THE BLING)']
Number 15: Gimmick Puppet Giant Grinder,"2 Level 8 monstersUp to twice per turn, during your Main Phase 1: You can detach 1 material from this card, then target 1 Special Summoned monster your opponent controls; destroy it, then if it was an Xyz Monster, inflict damage to your opponent equal to its original ATK.",MONSTER,[Machine／Xyz／Effect],DARK,1500.0,2500.0,,,,"['MP24-EN032', 'NUMH-EN027']",25628,QCSE Quarter Century Secret Rare,25TH ANNIVERSARY TIN: DUELING MIRRORS,2024-09-20,Number 15: Gimmick Puppet Giant Grinder,10130,579508,MP24-EN032QCSE,2024-09-20,"['MP24-EN032 (25TH ANNIVERSARY TIN: DUELING MIRRORS)', 'NUMH-EN027 (NUMBER HUNTERS)']"
Number 16: Shock Master,"3 Level 4 monstersOnce per turn: You can detach 1 Xyz Material from this card to declare 1 card type (Monster, Spell, or Trap); that type of card (if Spell or Trap) cannot be activated, or (if Monster) cannot activate its effects, until the end of your opponent's next turn.",MONSTER,[Fairy／Xyz／Effect],LIGHT,2300.0,1600.0,,,,"['RA04-EN166', 'RA04-EN166', 'CT09-EN014', 'JUMP-EN060']",25630,PS Platinum Secret Rare,QUARTER CENTURY STAMPEDE,2025-04-11,Number 16: Shock Master,9860,627404,RA04-EN166PS,2025-04-11,"['RA04-EN166 (QUARTER CENTURY STAMPEDE)', 'RA04-EN166 (COLLECTIBLE TIN 2012 WAVE 2)', 'CT09-EN014 (SHONEN JUMP ALPHA membership Promotional Card - April 2012 -)']"
Number 17: Leviathan Dragon,2 Level 3 monstersCannot attack directly unless it has material. Once per turn: You can detach 1 material from this card; it gains 500 ATK.,MONSTER,[Dragon／Xyz／Effect],WATER,2000.0,0.0,,,,"['RA04-EN154', 'RA04-EN154', 'BROL-EN000', 'SP13-EN023', 'SP13-EN023', 'DL15-EN012', 'DL15-EN012', 'DL15-EN012', 'DL15-EN012', 'BP01-EN027', 'BP01-EN027', 'CT08-EN001', 'GENF-EN039', 'GENF-EN039']",25634,PS Platinum Secret Rare,QUARTER CENTURY STAMPEDE,2025-04-11,Number 17: Leviathan Dragon,9656,627380,RA04-EN154PS,2025-04-11,"['RA04-EN154 (QUARTER CENTURY STAMPEDE)', 'RA04-EN154 (BROTHERS OF LEGEND)', 'BROL-EN000 (STAR PACK 2013)', 'SP13-EN023 (DUELIST LEAGUE 15)', 'SP13-EN023 (BATTLE PACK EPIC DAWN)', 'DL15-EN012 (COLLECTIBLE TIN 2011 WAVE 1)', 'DL15-EN012 (GENERATION FORCE)']"
Number 18: Heraldry Patriarch,"2 Level 4 monstersOnce per Chain, if 2 or more monsters with the same name are on the field (Quick Effect): You can detach 1 material from this card; choose 1 monster among those with the same name, and destroy all other monsters with that name. Your opponent cannot Summon monsters with the same name as any of the monster(s) chosen for this card's effect. If this card is sent to the GY: You can send 2 ""Heraldic Beast"" monsters from your Deck to the GY.",MONSTER,[Psychic／Xyz／Effect],LIGHT,2200.0,2200.0,,,,"['OP28-EN021', 'WSUP-EN004']",25648,C Common,OTS TOURNAMENT PACK 28,2025-06-18,Number 18: Heraldry Patriarch,10975,638120,OP28-EN021C,2025-06-18,"['OP28-EN021 (OTS TOURNAMENT PACK 28)', 'WSUP-EN004 (WORLD SUPERSTARS)']"
Number 19: Freezadon,"2 Level 5 monstersOnce per turn, if an Xyz Monster you control would activate an effect by detaching an Xyz Material(s), you can detach 1 Xyz Material from this card instead of 1 of those Xyz Materials.",MONSTER,[Dinosaur／Xyz／Effect],WATER,2000.0,2500.0,,,,['ZTIN-EN003'],25650,UR Ultra Rare,ZEXAL COLLECTION TIN,2013-03-08,Number 19: Freezadon,9854,67760,ZTIN-EN003UR,2013-03-08,['ZTIN-EN003 (ZEXAL COLLECTION TIN)']
Number 1: Infection Buzzking,"2+ Level 8 monstersOnce per turn, during your Standby Phase: You can attach 1 card from your opponent's GY to this card as material. You can only use each of the following effects of ""Number 1: Infection Buzzking"" once per turn. If this card is Xyz Summoned: You can look at your opponent's Extra Deck and send 1 card from it to the GY. You can detach 1 material from this card, then target 1 card your opponent controls; destroy it, then if you destroyed a face-up monster, inflict damage to your opponent equal to half the ATK it had on the field.",MONSTER,[Fiend／Xyz／Effect],DARK,3000.0,2500.0,,,,"['MZMI-EN023', 'MZMI-EN023']",25651,UR Ultra Rare,MAZE OF MILLENNIA,2024-01-19,Number 1: Infection Buzzking,19034,532239,MZMI-EN023UR,2024-01-19,['MZMI-EN023 (MAZE OF MILLENNIA)']
Number 1: Numeron Gate Ekam,"3 Level 1 monstersCannot be destroyed by battle. At the end of the Damage Step, if this card battled an opponent's monster: You can detach 1 material from this card; double the ATK of all ""Numeron"" monsters you currently control, until the end of this turn.",MONSTER,[Machine／Xyz／Effect],LIGHT,1000.0,100.0,,,,['BLAR-EN022'],25653,UR Ultra Rare,BATTLES OF LEGEND: ARMAGEDDON,2020-07-24,Number 1: Numeron Gate Ekam,15380,217965,BLAR-EN022UR,2020-07-24,['BLAR-EN022 (BATTLES OF LEGEND: ARMAGEDDON)']
Number 20: Giga-Brilliant,2 Level 3 monstersOnce per turn: You can detach 1 material from this card; all monsters you currently control gain 300 ATK.,MONSTER,[Insect／Xyz／Effect],LIGHT,1800.0,1800.0,,,,"['STAX-EN042', 'BP03-EN119', 'ZTIN-ENV02', 'PHSW-EN042']",25654,UR Ultra Rare,2-PLAYER STARTER SET,2024-01-26,Number 20: Giga-Brilliant,9760,533157,STAX-EN042UR,2024-01-26,"['STAX-EN042 (2-PLAYER STARTER SET)', 'BP03-EN119 (BATTLE PACK 3 MONSTER LEAGUE)', 'ZTIN-ENV02 (ZEXAL COLLECTION TIN)', 'PHSW-EN042 (PHOTON SHOCKWAVE)']"
Number 21: Frozen Lady Justice,"2 Level 6 monstersYou can also Xyz Summon this card by detaching 1 Xyz Material from a Rank 5 Xyz Monster you control, then using that Xyz Monster as the Xyz Material. (Xyz Materials attached to that monster also become Xyz Materials on this card.) This card gains 1000 ATK for each Xyz Material attached to it. Once per turn: You can detach 1 Xyz Material from this card; destroy all Defense Position monsters your opponent controls.",MONSTER,[Aqua／Xyz／Effect],WATER,500.0,500.0,,,,['PGL2-EN018'],25658,GSE Gold Secret,PREMIUM GOLD: RETURN OF THE BLING,2015-03-20,Number 21: Frozen Lady Justice,11654,96983,PGL2-EN018GSE,2015-03-20,['PGL2-EN018 (PREMIUM GOLD: RETURN OF THE BLING)']
Number 22: Zombiestein,"2 Level 8 DARK monstersMust be Xyz Summoned. Once per turn (Quick Effect): You can detach 1 material from this card and send 1 card from your hand to the GY, then target 1 face-up card your opponent controls; change this card to Defense Position, and if you do, negate that targeted card's effects, until the end of this turn.",MONSTER,[Zombie／Xyz／Effect],DARK,4500.0,1000.0,,,,"['OP20-EN019', 'RATE-ENSE1', 'YZ03-EN001']",25659,C Common,OTS TOURNAMENT PACK 20,2022-10-07,Number 22: Zombiestein,10331,450457,OP20-EN019C,2022-10-07,"['OP20-EN019 (OTS TOURNAMENT PACK 20)', 'RATE-ENSE1 (RAGING TEMPEST SPECIAL EDITION)', 'YZ03-EN001 (Yu-Gi-Oh! Zexal volume 3 Promotional Card)']"
"Number 23: Lancelot, Dark Knight of the Underworld","2 Level 8 monstersThis card can attack your opponent directly while it has Xyz Material. When this card inflicts battle damage to your opponent: You can target 1 face-up monster your opponent controls; destroy it. Once per turn, during either player's turn, when a Spell/Trap Card, or another monster's effect, is activated: Detach 1 Xyz Material from this card; negate the activation.",MONSTER,[Zombie／Xyz／Effect],DARK,2000.0,1500.0,,,,"['BOSH-ENSE2', 'YZ07-EN001']",25662,SR Super Rare,BREAKERS OF SHADOW SPECIAL EDITION,2016-02-26,"Number 23: Lancelot, Dark Knight of the Underworld",11459,114447,BOSH-ENSE2SR,2016-02-26,"['BOSH-ENSE2 (BREAKERS OF SHADOW SPECIAL EDITION)', 'YZ07-EN001 (Yu-Gi-Oh! Zexal volume 7 Promotional Card)']"
Number 24: Dragulas the Vampiric Dragon,"2 Level 6 monstersOnce per turn (Quick Effect): You can detach 1 material from this card, then target 1 face-up monster on the field that was Special Summoned from the Extra Deck; change it to face-down Defense Position. If this face-up card in its owner's control is sent to your GY or banished by your opponent's card effect: You can Special Summon this card in face-down Defense Position. If this card is flipped face-up: Send 1 card on the field to the GY.",MONSTER,[Wyrm／Xyz／Effect],DARK,2400.0,2800.0,,,,"['DLCS-EN118', 'DLCS-EN118', 'DLCS-EN118', 'DLCS-EN118', 'DRL3-EN022']",25664,UR Ultra Rare,DRAGONS OF LEGEND: THE COMPLETE SERIES,2020-09-11,Number 24: Dragulas the Vampiric Dragon,12545,221687,DLCS-EN118UR,2020-09-11,"['DLCS-EN118 (DRAGONS OF LEGEND: THE COMPLETE SERIES)', 'DLCS-EN118 (DRAGONS OF LEGEND -UNLEASHED-)']"
Number 25: Force Focus,"2 Level 6 monstersOnce per turn, during either player's turn: You can detach 1 Xyz Material from this card, then target 1 Level 5 or higher Effect Monster your opponent controls; negate the effects of that opponent's face-up monster, until the end of the turn.",MONSTER,[Machine／Xyz／Effect],LIGHT,2800.0,2400.0,,,,"['SP14-EN026', 'SP14-EN026', 'GAOV-EN045', 'GAOV-EN045']",25669,C Common,STAR PACK 2014,2014-02-21,Number 25: Force Focus,10068,79893,SP14-EN026C,2014-02-21,"['SP14-EN026 (STAR PACK 2014)', 'SP14-EN026 (GALACTIC OVERLORD)']"
Number 26: Spaceway Octobypass,"2 Level 3 monstersAt the start of the Battle Phase: You can detach 1 material from this card; during this Battle Phase, a player can only attack with 1 monster, and its attack(s) becomes a direct attack. You can only use this effect of ""Number 26: Spaceway Octobypass"" once per turn. At the end of the Damage Step, if a monster inflicted battle damage by a direct attack: Give control of the monster that attacked to the turn player's opponent.",MONSTER,[Psychic／Xyz／Effect],LIGHT,800.0,2400.0,,,,['BLHR-EN027'],25673,UR Ultra Rare,BATTLES OF LEGEND: HERO'S REVENGE,2019-07-12,Number 26: Spaceway Octobypass,14563,193614,BLHR-EN027UR,2019-07-12,"[""BLHR-EN027 (BATTLES OF LEGEND: HERO'S REVENGE)""]"
Number 27: Dreadnought Dreadnoid,"2+ Level 4 monstersAt the end of the Battle Phase, if this card destroyed an opponent's monster by battle: You can Special Summon from your Extra Deck, 1 Rank 10 or higher Machine Xyz Monster by using this face-up card you control as material. (This is treated as an Xyz Summon. Transfer its materials to the Summoned monster.) You can only use this effect of ""Number 27: Dreadnought Dreadnoid"" once per turn. If this face-up card on the field would be destroyed by battle or card effect, you can detach 1 material from this card instead.",MONSTER,[Machine／Xyz／Effect],WATER,2200.0,1000.0,,,,"['BLC1-EN109', 'DUOV-EN083', 'BLRR-EN030']",25674,C Common,BATTLES OF LEGEND - CHAPTER 1,2024-02-23,Number 27: Dreadnought Dreadnoid,13823,538581,BLC1-EN109C,2024-02-23,"['BLC1-EN109 (BATTLES OF LEGEND - CHAPTER 1)', 'DUOV-EN083 (DUEL OVERLOAD)', 'BLRR-EN030 (BATTLES OF LEGEND: RELENTLESS REVENGE)']"
Number 28: Titanic Moth,"2 Level 7 monstersIf you control no other monsters, this card can attack directly, but when it does so using this effect, the battle damage inflicted to your opponent is halved. When this card inflicts battle damage to your opponent: You can detach 1 material from this card; inflict 500 damage to your opponent for each card in their hand.",MONSTER,[Insect／Xyz／Effect],FIRE,2400.0,2200.0,,,,['OP22-EN020'],25677,C Common,OTS TOURNAMENT PACK 22,2023-07-19,Number 28: Titanic Moth,12890,505919,OP22-EN020C,2023-07-19,['OP22-EN020 (OTS TOURNAMENT PACK 22)']
Number 29: Mannequin Cat,"2 Level 2 monstersOnce per turn: You can detach 1 material from this card, then target 1 monster in your opponent's GY; Special Summon it to your opponent's field. If a monster(s) is Special Summoned to your opponent's field, while you control this monster (except during the Damage Step): You can target 1 face-up monster your opponent controls; Special Summon 1 monster with the same Type or Attribute from your hand, Deck, or GY. You can only use this effect of ""Number 29: Mannequin Cat"" once per turn.",MONSTER,[Beast／Xyz／Effect],LIGHT,2000.0,900.0,,,,"['OP21-EN009', 'RIRA-EN093']",25678,SR Super Rare,OTS TOURNAMENT PACK 21,2023-02-08,Number 29: Mannequin Cat,13162,482436,OP21-EN009SR,2023-02-08,"['OP21-EN009 (OTS TOURNAMENT PACK 21)', 'RIRA-EN093 (RISING RAMPAGE)']"
Number 2: Ninja Shadow Mosquito,"2+ Level 2 monstersCannot be destroyed by battle, also you take no damage from battles involving this card. All monsters your opponent controls must attack, if able. When an attack is declared: You can activate 1 of these effects;●Detach 1 material from this card, and if you do, place 1 Hallucination Counter on 1 face-up monster your opponent controls. (The effects, if any, of monsters with Hallucination Counters are negated.)●Inflict damage to your opponent equal to the ATK of 1 monster with a Hallucination Counter.",MONSTER,[Insect／Xyz／Effect],WIND,0.0,0.0,,,,"['MP25-EN291', 'BLCR-EN029']",25680,UR Ultra Rare,2025 MEGA-PACK TIN,2025-09-05,Number 2: Ninja Shadow Mosquito,17645,651690,MP25-EN291UR,2025-09-05,"['MP25-EN291 (2025 MEGA-PACK TIN)', 'BLCR-EN029 (BATTLES OF LEGEND: CRYSTAL REVENGE)']"
Number 2: Numeron Gate Dve,"3 Level 1 monstersCannot be destroyed by battle. At the end of the Damage Step, if this card battled an opponent's monster: You can detach 1 material from this card; double the ATK of all ""Numeron"" monsters you currently control, until the end of this turn.",MONSTER,[Machine／Xyz／Effect],LIGHT,1000.0,100.0,,,,['BLAR-EN023'],25682,UR Ultra Rare,BATTLES OF LEGEND: ARMAGEDDON,2020-07-24,Number 2: Numeron Gate Dve,15381,217966,BLAR-EN023UR,2020-07-24,['BLAR-EN023 (BATTLES OF LEGEND: ARMAGEDDON)']
Number 30: Acid Golem of Destruction,"2 Level 3 monstersDuring your Standby Phase: Detach 1 Xyz Material from this card or take 2000 damage. You cannot Special Summon any monsters. While this card has no Xyz Materials, it cannot attack.",MONSTER,[Rock／Xyz／Effect],WATER,3000.0,3000.0,,,,"['RA04-EN165', 'RA04-EN165', 'YS13-ENV09', 'REDU-ENSE2', 'JUMP-EN059']",25683,PS Platinum Secret Rare,QUARTER CENTURY STAMPEDE,2025-04-11,Number 30: Acid Golem of Destruction,9858,627402,RA04-EN165PS,2025-04-11,"['RA04-EN165 (QUARTER CENTURY STAMPEDE)', 'RA04-EN165 (SUPER STARTER Power-Up Pack)', 'YS13-ENV09 (RETURN OF THE DUELIST SPECIAL EDITION)', 'REDU-ENSE2 (SHONEN JUMP Promotional Card - April 2012 -)']"
Number 31: Embodiment of Punishment,"2 Level 1 monstersOnce per turn, during either player's turn: You can detach 1 Xyz Material from this card; change all monsters your opponent controls to face-up Attack Position, also all monsters your opponent currently controls must attack this card this turn, if able. While you control ""Number 13: Embodiment of Crime"", this card gains these effects.●This card cannot be destroyed by battle or by card effects while it has Xyz Material.●Your opponent takes any battle damage you would have taken from attacks on this card.",MONSTER,[Fiend／Xyz／Effect],DARK,500.0,500.0,,,,['PGLD-EN024'],25688,GSE Gold Secret,PREMIUM GOLD,2014-03-28,Number 31: Embodiment of Punishment,11019,81656,PGLD-EN024GSE,2014-03-28,['PGLD-EN024 (PREMIUM GOLD)']
Number 32: Shark Drake,"3 Level 4 monstersOnce per turn, when this attacking card destroys an opponent's monster by battle and sends it to the GY: You can detach 1 material from this card; Special Summon the destroyed monster to your opponent's field in Attack Position (but it loses 1000 ATK), and if you do, this card can make a second attack during this Battle Phase.",MONSTER,[Sea Serpent／Xyz／Effect],WATER,2800.0,2100.0,,,,"['MP24-EN033', 'OP25-EN021', 'PGLD-EN044', 'SP14-EN023', 'SP14-EN023', 'GAOV-EN042', 'GAOV-EN042']",25689,QCSE Quarter Century Secret Rare,25TH ANNIVERSARY TIN: DUELING MIRRORS,2024-09-20,Number 32: Shark Drake,10065,579509,MP24-EN033QCSE,2024-09-20,"['MP24-EN033 (25TH ANNIVERSARY TIN: DUELING MIRRORS)', 'OP25-EN021 (OTS TOURNAMENT PACK 25)', 'PGLD-EN044 (PREMIUM GOLD)', 'SP14-EN023 (STAR PACK 2014)', 'SP14-EN023 (GALACTIC OVERLORD)']"
Number 33: Chronomaly Machu Mech,"2 Level 5 monstersOnce per turn: You can detach 1 Xyz Material from this card to target 1 face-up monster your opponent controls; inflict damage to your opponent equal to the difference between its original ATK and current ATK, and if you do, this card gains ATK equal to the damage inflicted.",MONSTER,[Machine／Xyz／Effect],LIGHT,2400.0,1500.0,,,,"['REDU-EN043', 'REDU-EN043']",25696,UR Ultra Rare,RETURN OF THE DUELIST,2012-08-28,Number 33: Chronomaly Machu Mech,10173,60193,REDU-EN043UR,2012-08-28,['REDU-EN043 (RETURN OF THE DUELIST)']
Number 34: Terror-Byte,3 Level 3 monstersOnce per turn: You can detach 1 Xyz Material from this card to target 1 Level 4 or lower Attack Position monster your opponent controls; gain control of it until the End Phase.,MONSTER,[Machine／Xyz／Effect],DARK,0.0,2900.0,,,,"['SP13-EN025', 'SP13-EN025', 'PRC1-ENV02', 'GENF-EN041', 'GENF-EN041']",25698,C Common,STAR PACK 2013,2013-03-01,Number 34: Terror-Byte,9658,77501,SP13-EN025C,2013-03-01,"['SP13-EN025 (STAR PACK 2013)', 'SP13-EN025 (PREMIUM COLLECTION TIN)', 'PRC1-ENV02 (GENERATION FORCE)']"
Number 35: Ravenous Tarantula,"2 Level 10 monstersAll monsters you control gain ATK and DEF equal to the difference between your LP and your opponent's. While this card has Xyz Material, each time your opponent Special Summons a monster(s), inflict 600 damage to your opponent. Once per turn: You can detach 1 Xyz Material from this card; destroy all face-up monsters your opponent controls with ATK less than or equal to this card's.",MONSTER,[Insect／Xyz／Effect],DARK,0.0,0.0,,,,['PGL3-EN009'],25703,GSE Gold Secret,PREMIUM GOLD: INFINITE GOLD,2016-03-18,Number 35: Ravenous Tarantula,12261,115793,PGL3-EN009GSE,2016-03-18,['PGL3-EN009 (PREMIUM GOLD: INFINITE GOLD)']
Number 36: Chronomaly Chateau Huyuk,"2 Level 4 ""Chronomaly"" monstersOnce per turn, during either player's turn: You can detach 1 Xyz Material from this card, then target 1 face-up monster your opponent controls; change its ATK to 0 until the end of this turn. You can Tribute 1 ""Chronomaly"" monster, then target 1 monster your opponent controls, whose current ATK is different from its original ATK; destroy that target.",MONSTER,[Machine／Xyz／Effect],LIGHT,2000.0,2500.0,,,,['WSUP-EN002'],25704,SR Super Rare,WORLD SUPERSTARS,2015-04-17,Number 36: Chronomaly Chateau Huyuk,10973,97844,WSUP-EN002SR,2015-04-17,['WSUP-EN002 (WORLD SUPERSTARS)']
Number 37: Hope Woven Dragon Spider Shark,"2 Level 4 WATER monstersWhen any player's monster declares an attack: You can detach 1 Xyz Material from this card; all monsters your opponent currently controls lose 1000 ATK until the end of this turn. When this card is destroyed by battle or card effect and sent to the Graveyard: You can target 1 other monster in your Graveyard; Special Summon it. You can only use each effect of ""Number 37: Hope Woven Dragon Spider Shark"" once per turn.",MONSTER,[Sea Serpent／Xyz／Effect],WATER,2600.0,2100.0,,,,['PGL3-EN007'],25705,GSE Gold Secret,PREMIUM GOLD: INFINITE GOLD,2016-03-18,Number 37: Hope Woven Dragon Spider Shark,12259,115791,PGL3-EN007GSE,2016-03-18,['PGL3-EN007 (PREMIUM GOLD: INFINITE GOLD)']
Number 38: Hope Harbinger Dragon Titanic Galaxy,"2 Level 8 monstersOnce per turn, when a Spell Card or effect is activated on the field (Quick Effect): You can negate that effect, and if you do, attach that card to this card as material. When an opponent's monster declares an attack: You can detach 1 material from this card; change the attack target to this card and perform damage calculation. If another face-up Xyz Monster(s) you control is destroyed by battle or card effect: You can target 1 face-up Xyz Monster you control; it gains ATK equal to 1 of those destroyed monster's original ATK.",MONSTER,[Dragon／Xyz／Effect],LIGHT,3000.0,2500.0,,,,"['RA02-EN036', 'RA02-EN036', 'RA02-EN036', 'RA02-EN036', 'RA02-EN036', 'GFP2-EN143', 'CYHO-ENSE2', 'PGL3-EN008']",25706,SR Super Rare,25TH ANNIVERSARY RARITY COLLECTION 2,2024-05-24,Number 38: Hope Harbinger Dragon Titanic Galaxy,12260,551094,RA02-EN036SR,2024-05-24,"['RA02-EN036 (25TH ANNIVERSARY RARITY COLLECTION 2)', 'RA02-EN036 (GHOSTS FROM THE PAST: THE 2ND HAUNTING)', 'RA02-EN036 (CYBERNETIC HORIZON SPECIAL EDITION)', 'RA02-EN036 (PREMIUM GOLD: INFINITE GOLD)']"
