set_id,set_name,set_release,join_id,card_set_id
CYHO-EN090,CYBERNETIC HORIZON,2018-07-27,CYHO-EN090SR,21047
NKRT-EN010,NOBLE KNIGHTS OF THE ROUND TABLE BOX SET,2014-11-21,NKRT-EN010PL,21048
LVAL-EN085,LEGACY OF THE VALIANT,2014-01-24,LVAL-EN085SR,21049
BROL-EN017,BROTHERS OF LEGEND,2021-12-03,BROL-EN017SE,21050
BROL-EN019,BROTHERS OF LEGEND,2021-12-03,BROL-EN019UR,21051
MP15-EN052,2015 MEGA-TINS MEGA PACK,2015-09-18,MP15-EN052UR,21052
NKRT-EN018,NOBLE KNIGHTS OF THE ROUND TABLE BOX SET,2014-11-21,NKRT-EN018PL,21053
PRIO-EN087,PRIMAL ORIGIN,2014-05-16,PRIO-EN087UR,21054
LEDD-ENC11,LEGENDARY DRAGON DECKS,2017-10-06,LEDD-ENC11C,21055
PEVO-EN015,PENDULUM EVOLUTION,2017-06-23,PEVO-EN015SR,21056
SDMP-EN003,MASTER OF PENDULUM STRUCTURE DECK,2015-12-04,SDMP-EN003SR,21057
RA03-EN102,QUARTER CENTURY BONANZA,2024-11-07,RA03-EN102PS,21058
SBC1-ENF15,SPEED DUEL: STREETS OF BATTLE CITY,2023-08-25,SBC1-ENF15C,21059
PSV-EN034,PHARAOH'S SERVANT (LC01 25th Anniversary Edition),2023-04-21,PSV-EN034SR,21060
STP4-EN023,SPEED DUEL TOURNAMENT PACK 4,2022-09-16,STP4-EN023C,21061
SBCB-EN138,Speed Duel: Battle City Box,2020-11-26,SBCB-EN138C,21062
AP06-EN023,ASTRAL PACK SIX,2014-12-05,AP06-EN023C,21063
DL14-EN015,DUELIST LEAGUE 14,2012-06-01,DL14-EN015R,21064
TU03-EN017,TURBO PACK BOOSTER THREE,2010-07-12,TU03-EN017C,21065
RP02-EN011,RETRO PACK 2,2009-07-28,RP02-EN011C,21066
SDDE-EN020,THE DARK EMPEROR STRUCTURE DECK,2008-04-02,SDDE-EN020C,21067
SD8-EN020,STRUCTURE DECK LORD OF THE STORM,2006-07-12,SD8-EN020C,21068
SD6-EN019,STRUCTURE DECK SPELLCASTER'S JUDGMENT,2006-01-18,SD6-EN019C,21069
SD3-EN017,STRUCTURE DECK BLAZE OF DESTRUCTION,2005-05-09,SD3-EN017C,21070
SD1-EN012,STRUCTURE DECK DRAGON'S ROAR,2005-01-01,SD1-EN012C,21071
SD2-EN016,STRUCTURE DECK ZOMBIE MADNESS,2005-01-01,SD2-EN016C,21072
DB1-EN088,DARK BEGINNING 1,2004-10-12,DB1-EN088SR,21073
SKE-038,STARTER DECK KAIBA Evolution,2004-03-01,SKE-038C,21074
PSV-034,PHARAOH'S SERVANT,2002-10-20,PSV-034SR,21075
STP6-EN026,SPEED DUEL TOURNAMENT PACK 6,2023-09-06,STP6-EN026C,21076
PSV-EN035,PHARAOH'S SERVANT (LC01 25th Anniversary Edition),2023-04-21,PSV-EN035R,21077
SBCB-EN117,Speed Duel: Battle City Box,2020-11-26,SBCB-EN117C,21078
DL11-EN015,DUELIST LEAGUE 2,2010-12-01,DL11-EN015R,21079
DB1-EN089,DARK BEGINNING 1,2004-10-12,DB1-EN089C,21080
TP4-016,TOURNAMENT PACK 4,2003-10-01,TP4-016C,21081
PSV-035,PHARAOH'S SERVANT,2002-10-20,PSV-035R,21082
DR3-EN030,DARK REVELATION Volume 3,2006-11-25,DR3-EN030C,21083
SOD-EN030,SOUL OF THE DUELIST,2004-10-01,SOD-EN030C,21084
MP21-EN048,2021 TIN OF ANCIENT BATTLES,2021-10-01,MP21-EN048SR,21085
OP15-EN008,OTS TOURNAMENT PACK 15,2021-02-05,OP15-EN008SR,21086
ETCO-EN007,ETERNITY CODE,2020-05-01,ETCO-EN007C,21087
MP25-EN437,2025 MEGA-PACK TIN,2025-09-05,MP25-EN437C,21088
CRBR-EN002,CROSSOVER BREAKERS,2024-12-06,CRBR-EN002R,21089
BLMM-EN076,BATTLES OF LEGEND: MONSTER MAYHEM (Americas only),2025-06-13,BLMM-EN076UR,21090
BLMR-EN066,BATTLES OF LEGEND: MONSTROUS REVENGE,2023-06-23,BLMR-EN066UR,21091
DIFO-EN022,DIMENSION FORCE,2022-05-20,DIFO-EN022UR,21092
BLMM-EN074,BATTLES OF LEGEND: MONSTER MAYHEM (Americas only),2025-06-13,BLMM-EN074UR,21093
BLMR-EN063,BATTLES OF LEGEND: MONSTROUS REVENGE,2023-06-23,BLMR-EN063SE,21094
GRCR-EN005,THE GRAND CREATORS,2022-01-28,GRCR-EN005UR,21095
BLMM-EN075,BATTLES OF LEGEND: MONSTER MAYHEM (Americas only),2025-06-13,BLMM-EN075UR,21096
BLMR-EN064,BATTLES OF LEGEND: MONSTROUS REVENGE,2023-06-23,BLMR-EN064SE,21097
GRCR-EN006,THE GRAND CREATORS,2022-01-28,GRCR-EN006UR,21098
BLMM-EN050,BATTLES OF LEGEND: MONSTER MAYHEM (Americas only),2025-06-13,BLMM-EN050UR,21099
BLMM-EN073,BATTLES OF LEGEND: MONSTER MAYHEM (Americas only),2025-06-13,BLMM-EN073UR,21100
RA04-EN293,QUARTER CENTURY STAMPEDE,2025-04-11,RA04-EN293PS,21101
BLMR-EN062,BATTLES OF LEGEND: MONSTROUS REVENGE,2023-06-23,BLMR-EN062UR,21102
GRCR-EN004,THE GRAND CREATORS,2022-01-28,GRCR-EN004SR,21103
BP01-EN204,BATTLE PACK EPIC DAWN,2012-05-28,BP01-EN204C,21104
TDGS-EN037,THE DUELIST GENESIS,2008-09-02,TDGS-EN037C,21105
GAOV-EN040,GALACTIC OVERLORD,2012-05-08,GAOV-EN040C,21106
DR1-EN049,DARK REVELATION Volume 1,2005-03-19,DR1-EN049C,21107
PGD-101,PHARAONIC GUARDIAN,2003-07-18,PGD-101C,21108
MAMA-EN095,MAGNIFICENT MAVENS,2022-11-04,MAMA-EN095UR,21109
LCGX-EN260,LEGENDARY COLLECTION 2 THE DUEL ACADEMY YEARS MEGA PACK,2011-10-04,LCGX-EN260C,21110
DR04-EN119,DARK REVELATION Volume 4,2007-11-14,DR04-EN119C,21111
EEN-EN059,ELEMENTAL ENERGY,2005-11-05,EEN-EN059C,21112
DCR-EN043,DARK CRISIS (LC01 25th Anniversary Edition),2023-04-21,DCR-EN043C,21113
LCYW-EN272,LEGENDARY COLLECTION 3 YUGI'S WORLD MEGA PACK,2012-10-02,LCYW-EN272C,21114
GLD1-EN035,GOLD SERIES,2008-04-02,GLD1-EN035C,21115
DR1-EN205,DARK REVELATION Volume 1,2005-03-19,DR1-EN205C,21116
DCR-043,DARK CRISIS,2003-12-01,DCR-043C,21117
PRIO-EN037,PRIMAL ORIGIN,2014-05-16,PRIO-EN037C,21118
BACH-EN011,BATTLE OF CHAOS,2022-02-11,BACH-EN011SR,21119
LEHD-ENB25,LEGENDARY HERO DECKS,2018-10-12,LEHD-ENB25C,21120
LC5D-EN198,LEGENDARY COLLECTION 5D's MEGA PACK,2014-10-24,LC5D-EN198R,21121
BPW2-EN088,BATTLE PACK 2 WAR OF THE GIANTS ROUND 2,2014-01-17,BPW2-EN088SR,21122
STOR-EN068,STORM OF RAGNAROK,2011-02-08,STOR-EN068C,21123
LEHD-ENB14,LEGENDARY HERO DECKS,2018-10-12,LEHD-ENB14C,21124
LC5D-EN192,LEGENDARY COLLECTION 5D's MEGA PACK,2014-10-24,LC5D-EN192R,21125
STOR-EN045,STORM OF RAGNAROK,2011-02-08,STOR-EN045C,21126
LEHD-ENB27,LEGENDARY HERO DECKS,2018-10-12,LEHD-ENB27C,21127
LC5D-EN200,LEGENDARY COLLECTION 5D's MEGA PACK,2014-10-24,LC5D-EN200UR,21128
STOR-EN070,STORM OF RAGNAROK,2011-02-08,STOR-EN070R,21129
BACH-EN055,BATTLE OF CHAOS,2022-02-11,BACH-EN055SR,21130
LEHD-ENB26,LEGENDARY HERO DECKS,2018-10-12,LEHD-ENB26C,21131
LC5D-EN199,LEGENDARY COLLECTION 5D's MEGA PACK,2014-10-24,LC5D-EN199R,21132
BP03-EN221,BATTLE PACK 3 MONSTER LEAGUE,2014-08-01,BP03-EN221C,21133
BPW2-EN089,BATTLE PACK 2 WAR OF THE GIANTS ROUND 2,2014-01-17,BPW2-EN089SR,21134
STOR-EN069,STORM OF RAGNAROK,2011-02-08,STOR-EN069C,21135
LEHD-ENB28,LEGENDARY HERO DECKS,2018-10-12,LEHD-ENB28C,21136
LC5D-EN204,LEGENDARY COLLECTION 5D's MEGA PACK,2014-10-24,LC5D-EN204R,21137
STOR-EN088,STORM OF RAGNAROK,2011-02-08,STOR-EN088SE,21138
BACH-EN074,BATTLE OF CHAOS,2022-02-11,BACH-EN074SR,21139
BACH-EN012,BATTLE OF CHAOS,2022-02-11,BACH-EN012SR,21140
BLRR-EN058,BATTLES OF LEGEND: RELENTLESS REVENGE,2018-06-29,BLRR-EN058UR,21141
PGL3-EN074,PREMIUM GOLD: INFINITE GOLD,2016-03-18,PGL3-EN074GR,21142
NUMH-EN039,NUMBER HUNTERS,2013-07-12,NUMH-EN039SE,21143
DUAD-EN067,DUELIST'S ADVANCE,2025-07-04,DUAD-EN067C,21144
WISU-EN035,WILD SURVIVORS,2023-06-02,WISU-EN035UR,21145
SR05-EN017,STRUCTURE DECK WAVE OF LIGHT,2018-01-19,SR05-EN017C,21146
SDLS-EN018,LOST SANCTUARY STRUCTURE DECK,2011-06-14,SDLS-EN018C,21147
GLD3-EN011,GOLD SERIES 3,2010-06-23,GLD3-EN011C,21148
DLG1-EN111,DARK LEGENDS,2008-11-21,DLG1-EN111UR,21149
STON-EN065,STRIKE OF NEOS,2007-02-28,STON-EN065SE,21150
TP2-008,TOURNAMENT PACK 2ND SEASON,2002-10-01,TP2-008R,21151
MP23-EN054,25TH ANNIVERSARY TIN: DUELING HEROES MEGA PACK,2023-09-08,MP23-EN054SR,21152
BACH-EN096,BATTLE OF CHAOS,2022-02-11,BACH-EN096C,21153
ALIN-EN030,ALLIANCE INSIGHT,2025-05-02,ALIN-EN030C,21154
DR2-EN179,DARK REVELATION Volume 2,2005-10-20,DR2-EN179C,21155
AST-066,ANCIENT SANCTUARY,2004-06-01,AST-066C,21156
RA01-EN039,25TH ANNIVERSARY RARITY COLLECTION,2023-11-03,RA01-EN039SR,21157
BLCR-EN084,BATTLES OF LEGEND: CRYSTAL REVENGE,2022-11-18,BLCR-EN084SE,21158
DLCS-EN117,DRAGONS OF LEGEND: THE COMPLETE SERIES,2020-09-11,DLCS-EN117UR,21159
DRL3-EN021,DRAGONS OF LEGEND -UNLEASHED-,2016-08-19,DRL3-EN021SE,21160
RA04-EN211,QUARTER CENTURY STAMPEDE,2025-04-11,RA04-EN211PS,21161
DUDE-EN017,Duel Devastator,2019-10-11,DUDE-EN017UR,21162
WIRA-EN047,WING RAIDERS,2016-02-12,WIRA-EN047SR,21163
PGL2-EN046,PREMIUM GOLD: RETURN OF THE BLING,2015-03-20,PGL2-EN046GR,21164
MP14-EN219,2014 MEGA-TINS MEGA PACK,2014-08-29,MP14-EN219UR,21165
LVAL-EN047,LEGACY OF THE VALIANT,2014-01-24,LVAL-EN047UR,21166
JOTL-EN053,JUDGMENT OF THE LIGHT,2013-08-09,JOTL-EN053R,21167
CRBR-EN011,CROSSOVER BREAKERS,2024-12-06,CRBR-EN011R,21168
AP07-EN009,ASTRAL PACK SEVEN,2015-06-05,AP07-EN009SR,21169
PRIO-EN042,PRIMAL ORIGIN,2014-05-16,PRIO-EN042R,21170
OP27-EN010,OTS TOURNAMENT PACK 27,2025-02-27,OP27-EN010SR,21171
JOTL-EN055,JUDGMENT OF THE LIGHT,2013-08-09,JOTL-EN055R,21172
LD10-EN042,LEGENDARY DUELISTS: SOULBURNING VOLCANO,2023-08-11,LD10-EN042C,21173
MP14-EN028,2014 MEGA-TINS MEGA PACK,2014-08-29,MP14-EN028SR,21174
LTGY-EN051,LORD OF THE TACHYON GALAXY,2013-05-17,LTGY-EN051SR,21175
RA04-EN066,QUARTER CENTURY STAMPEDE,2025-04-11,RA04-EN066SR,21176
LED9-EN053,LEGENDARY DUELISTS: DUELS FROM THE DEEP,2022-06-17,LED9-EN053SR,21177
PGL3-EN075,PREMIUM GOLD: INFINITE GOLD,2016-03-18,PGL3-EN075GR,21178
YCSW-EN006,Yu-Gi-Oh! CHAMPIONSHIP SERIES 2013,2013-09-01,YCSW-EN006SR,21179
RA04-EN067,QUARTER CENTURY STAMPEDE,2025-04-11,RA04-EN067QCSE,21180
MZTM-EN091,MAZE OF THE MASTER,2025-03-14,MZTM-EN091R,21181
BLC1-EN072,BATTLES OF LEGEND - CHAPTER 1,2024-02-23,BLC1-EN072C,21182
OP09-EN019,OTS TOURNAMENT PACK 9,2018-12-07,OP09-EN019C,21183
BLLR-EN067,BATTLES OF LEGEND -LIGHT'S REVENGE-,2017-07-07,BLLR-EN067UR,21184
MP14-EN024,2014 MEGA-TINS MEGA PACK,2014-08-29,MP14-EN024UR,21185
LTGY-EN044,LORD OF THE TACHYON GALAXY,2013-05-17,LTGY-EN044UR,21186
BP03-EN118,BATTLE PACK 3 MONSTER LEAGUE,2014-08-01,BP03-EN118SH,21187
SP13-EN026,STAR PACK 2013,2013-03-01,SP13-EN026C,21188
PHSW-EN041,PHOTON SHOCKWAVE,2011-11-15,PHSW-EN041UR,21189
CT08-EN004,COLLECTIBLE TIN 2011 WAVE 2,2011-11-01,CT08-EN004SE,21190
MP25-EN133,2025 MEGA-PACK TIN,2025-09-05,MP25-EN133PSE,21191
RA04-EN062,QUARTER CENTURY STAMPEDE,2025-04-11,RA04-EN062SR,21192
BLC1-EN001,BATTLES OF LEGEND - CHAPTER 1,2024-02-23,BLC1-EN001SE,21193
BLLR-EN066,BATTLES OF LEGEND -LIGHT'S REVENGE-,2017-07-07,BLLR-EN066UR,21194
PGL3-EN063,PREMIUM GOLD: INFINITE GOLD,2016-03-18,PGL3-EN063GR,21195
AP06-EN002,ASTRAL PACK SIX,2014-12-05,AP06-EN002UL,21196
BPW2-EN102,BATTLE PACK 2 WAR OF THE GIANTS ROUND 2,2014-01-17,BPW2-EN102UR,21197
GAOV-EN090,GALACTIC OVERLORD,2012-05-08,GAOV-EN090SE,21198
SP13-EN030,STAR PACK 2013,2013-03-01,SP13-EN030C,21199
ORCS-EN042,ORDER OF CHAOS,2012-01-24,ORCS-EN042UR,21200
PGLD-EN023,PREMIUM GOLD,2014-03-28,PGLD-EN023GSE,21201
PGL2-EN017,PREMIUM GOLD: RETURN OF THE BLING,2015-03-20,PGL2-EN017GSE,21202
MP24-EN032,25TH ANNIVERSARY TIN: DUELING MIRRORS,2024-09-20,MP24-EN032QCSE,21203
NUMH-EN027,NUMBER HUNTERS,2013-07-12,NUMH-EN027SE,21204
RA04-EN166,QUARTER CENTURY STAMPEDE,2025-04-11,RA04-EN166PS,21205
CT09-EN014,COLLECTIBLE TIN 2012 WAVE 2,2012-10-30,CT09-EN014SR,21206
JUMP-EN060,SHONEN JUMP ALPHA membership Promotional Card - April 2012 -,2012-05-30,JUMP-EN060UR,21207
RA04-EN154,QUARTER CENTURY STAMPEDE,2025-04-11,RA04-EN154PS,21208
BROL-EN000,BROTHERS OF LEGEND,2021-12-03,BROL-EN000STAR,21209
SP13-EN023,STAR PACK 2013,2013-03-01,SP13-EN023C,21210
DL15-EN012,DUELIST LEAGUE 15,2012-12-15,DL15-EN012R,21211
BP01-EN027,BATTLE PACK EPIC DAWN,2012-05-28,BP01-EN027R,21212
CT08-EN001,COLLECTIBLE TIN 2011 WAVE 1,2011-08-30,CT08-EN001SE,21213
GENF-EN039,GENERATION FORCE,2011-08-16,GENF-EN039UR,21214
OP28-EN021,OTS TOURNAMENT PACK 28,2025-06-18,OP28-EN021C,21215
WSUP-EN004,WORLD SUPERSTARS,2015-04-17,WSUP-EN004SR,21216
ZTIN-EN003,ZEXAL COLLECTION TIN,2013-03-08,ZTIN-EN003UR,21217
MZMI-EN023,MAZE OF MILLENNIA,2024-01-19,MZMI-EN023UR,21218
BLAR-EN022,BATTLES OF LEGEND: ARMAGEDDON,2020-07-24,BLAR-EN022UR,21219
STAX-EN042,2-PLAYER STARTER SET,2024-01-26,STAX-EN042UR,21220
BP03-EN119,BATTLE PACK 3 MONSTER LEAGUE,2014-08-01,BP03-EN119SH,21221
ZTIN-ENV02,ZEXAL COLLECTION TIN,2013-03-08,ZTIN-ENV02UL,21222
PHSW-EN042,PHOTON SHOCKWAVE,2011-11-15,PHSW-EN042SR,21223
PGL2-EN018,PREMIUM GOLD: RETURN OF THE BLING,2015-03-20,PGL2-EN018GSE,21224
OP20-EN019,OTS TOURNAMENT PACK 20,2022-10-07,OP20-EN019C,21225
RATE-ENSE1,RAGING TEMPEST SPECIAL EDITION,2017-03-17,RATE-ENSE1SR,21226
YZ03-EN001,Yu-Gi-Oh! Zexal volume 3 Promotional Card,2013-06-04,YZ03-EN001UR,21227
BOSH-ENSE2,BREAKERS OF SHADOW SPECIAL EDITION,2016-02-26,BOSH-ENSE2SR,21228
YZ07-EN001,Yu-Gi-Oh! Zexal volume 7 Promotional Card,2015-09-01,YZ07-EN001UR,21229
DLCS-EN118,DRAGONS OF LEGEND: THE COMPLETE SERIES,2020-09-11,DLCS-EN118UR,21230
DRL3-EN022,DRAGONS OF LEGEND -UNLEASHED-,2016-08-19,DRL3-EN022SE,21231
SP14-EN026,STAR PACK 2014,2014-02-21,SP14-EN026C,21232
GAOV-EN045,GALACTIC OVERLORD,2012-05-08,GAOV-EN045UR,21233
BLHR-EN027,BATTLES OF LEGEND: HERO'S REVENGE,2019-07-12,BLHR-EN027UR,21234
BLC1-EN109,BATTLES OF LEGEND - CHAPTER 1,2024-02-23,BLC1-EN109C,21235
DUOV-EN083,DUEL OVERLOAD,2020-03-20,DUOV-EN083UR,21236
BLRR-EN030,BATTLES OF LEGEND: RELENTLESS REVENGE,2018-06-29,BLRR-EN030SE,21237
OP22-EN020,OTS TOURNAMENT PACK 22,2023-07-19,OP22-EN020C,21238
OP21-EN009,OTS TOURNAMENT PACK 21,2023-02-08,OP21-EN009SR,21239
RIRA-EN093,RISING RAMPAGE,2019-07-27,RIRA-EN093C,21240
MP25-EN291,2025 MEGA-PACK TIN,2025-09-05,MP25-EN291UR,21241
BLCR-EN029,BATTLES OF LEGEND: CRYSTAL REVENGE,2022-11-18,BLCR-EN029SE,21242
BLAR-EN023,BATTLES OF LEGEND: ARMAGEDDON,2020-07-24,BLAR-EN023UR,21243
RA04-EN165,QUARTER CENTURY STAMPEDE,2025-04-11,RA04-EN165PS,21244
YS13-ENV09,SUPER STARTER Power-Up Pack,2013-06-14,YS13-ENV09C,21245
REDU-ENSE2,RETURN OF THE DUELIST SPECIAL EDITION,2012-09-25,REDU-ENSE2SR,21246
JUMP-EN059,SHONEN JUMP Promotional Card - April 2012 -,,JUMP-EN059UR,21247
PGLD-EN024,PREMIUM GOLD,2014-03-28,PGLD-EN024GSE,21248
MP24-EN033,25TH ANNIVERSARY TIN: DUELING MIRRORS,2024-09-20,MP24-EN033QCSE,21249
OP25-EN021,OTS TOURNAMENT PACK 25,2024-06-12,OP25-EN021C,21250
PGLD-EN044,PREMIUM GOLD,2014-03-28,PGLD-EN044GR,21251
SP14-EN023,STAR PACK 2014,2014-02-21,SP14-EN023C,21252
GAOV-EN042,GALACTIC OVERLORD,2012-05-08,GAOV-EN042UR,21253
REDU-EN043,RETURN OF THE DUELIST,2012-08-28,REDU-EN043UR,21254
SP13-EN025,STAR PACK 2013,2013-03-01,SP13-EN025C,21255
PRC1-ENV02,PREMIUM COLLECTION TIN,2012-03-20,PRC1-ENV02SE,21256
GENF-EN041,GENERATION FORCE,2011-08-16,GENF-EN041UR,21257
PGL3-EN009,PREMIUM GOLD: INFINITE GOLD,2016-03-18,PGL3-EN009GSE,21258
WSUP-EN002,WORLD SUPERSTARS,2015-04-17,WSUP-EN002SR,21259
PGL3-EN007,PREMIUM GOLD: INFINITE GOLD,2016-03-18,PGL3-EN007GSE,21260
RA02-EN036,25TH ANNIVERSARY RARITY COLLECTION 2,2024-05-24,RA02-EN036SR,21261
GFP2-EN143,GHOSTS FROM THE PAST: THE 2ND HAUNTING,2022-05-06,GFP2-EN143UR,21262
CYHO-ENSE2,CYBERNETIC HORIZON SPECIAL EDITION,2018-09-14,CYHO-ENSE2SR,21263
PGL3-EN008,PREMIUM GOLD: INFINITE GOLD,2016-03-18,PGL3-EN008GSE,21264
BLC1-EN039,BATTLES OF LEGEND - CHAPTER 1,2024-02-23,BLC1-EN039UR,21265
TN23-EN013,25TH ANNIVERSARY TIN: DUELING HEROES,2023-09-08,TN23-EN013QCSE,21266
BROL-EN059,BROTHERS OF LEGEND,2021-12-03,BROL-EN059UR,21267
OP17-EN001,OTS TOURNAMENT PACK 17,2021-10-06,OP17-EN001UL,21268
KICO-EN042,KING'S COURT,2021-07-09,KICO-EN042R,21269
BLAR-EN000,BATTLES OF LEGEND: ARMAGEDDON,2020-07-24,BLAR-EN000STAR,21270
DUPO-EN104,DUEL POWER VARIANT CARDS,2019-04-03,DUPO-EN104UR,21271
YS13-EN041,SUPER STARTER V FOR VICTORY,2013-06-14,YS13-EN041SR,21272
SP13-EN021,STAR PACK 2013,2013-03-01,SP13-EN021C,21273
GLD5-EN036,GOLD SERIES HAUNTED MINE,2012-06-12,GLD5-EN036GR,21274
DL14-EN010,DUELIST LEAGUE 14,2012-06-01,DL14-EN010R,21275
BP01-EN024,BATTLE PACK EPIC DAWN,2012-05-28,BP01-EN024R,21276
YS12-EN039,STARTER DECK XYZ SYMPHONY,2012-04-17,YS12-EN039UR,21277
YS11-EN041,STARTER DECK DAWN OF THE XYZ,2011-07-12,YS11-EN041UR,21278
MP15-EN188,2015 MEGA-TINS MEGA PACK,2015-09-18,MP15-EN188SR,21279
NECH-ENS13,THE NEW CHALLENGERS SUPER EDITION,2014-12-05,NECH-ENS13SR,21280
NECH-EN095,THE NEW CHALLENGERS,2014-11-07,NECH-EN095SR,21281
MP24-EN031,25TH ANNIVERSARY TIN: DUELING MIRRORS,2024-09-20,MP24-EN031QCSE,21282
DUPO-EN008,DUEL POWER,2019-04-03,DUPO-EN008UR,21283
MAZE-EN021,MAZE OF MEMORIES,2023-03-10,MAZE-EN021SR,21284
LVAL-EN048,LEGACY OF THE VALIANT,2014-01-24,LVAL-EN048R,21285
BLAR-EN028,BATTLES OF LEGEND: ARMAGEDDON,2020-07-24,BLAR-EN028UR,21286
BLAR-EN024,BATTLES OF LEGEND: ARMAGEDDON,2020-07-24,BLAR-EN024UR,21287
LED5-EN043,LEGENDARY DUELISTS: IMMORTAL DESTINY,2019-09-27,LED5-EN043C,21288
CT10-EN011,COLLECTIBLE TIN 2013 WAVE 1,2013-08-30,CT10-EN011SR,21289
JUMP-EN063,SHONEN JUMP ALPHA membership Promotional Card - December 2012 -,2012-12-25,JUMP-EN063UR,21290
VASM-EN044,VALIANT SMASHERS,2023-11-17,VASM-EN044R,21291
AC18-EN021,YU-GI-OH! ADVENT CALENDAR 2018,2018-11-01,AC18-EN021UR,21292
BLRR-EN085,BATTLES OF LEGEND: RELENTLESS REVENGE,2018-06-29,BLRR-EN085UR,21293
CIBR-EN097,CIRCUIT BREAK,2017-10-20,CIBR-EN097SR,21294
MP15-EN055,2015 MEGA-TINS MEGA PACK,2015-09-18,MP15-EN055C,21295
PRIO-EN092,PRIMAL ORIGIN,2014-05-16,PRIO-EN092C,21296
MP15-EN025,2015 MEGA-TINS MEGA PACK,2015-09-18,MP15-EN025C,21297
PRIO-EN047,PRIMAL ORIGIN,2014-05-16,PRIO-EN047C,21298
BP03-EN130,BATTLE PACK 3 MONSTER LEAGUE,2014-08-01,BP03-EN130SH,21299
NUMH-EN028,NUMBER HUNTERS,2013-07-12,NUMH-EN028SE,21300
DLCS-EN119,DRAGONS OF LEGEND: THE COMPLETE SERIES,2020-09-11,DLCS-EN119UR,21301
DRL3-EN023,DRAGONS OF LEGEND -UNLEASHED-,2016-08-19,DRL3-EN023SE,21302
SHSP-EN050,SHADOW SPECTERS,2013-11-08,SHSP-EN050SR,21303
CT11-EN004,2014 MEGA-TINS,2014-08-29,CT11-EN004SR,21304
YZ04-EN001,Yu-Gi-Oh! Zexal volume 4 Promotional Card,2014-01-07,YZ04-EN001UR,21305
MP15-EN056,2015 MEGA-TINS MEGA PACK,2015-09-18,MP15-EN056C,21306
PRIO-EN097,PRIMAL ORIGIN,2014-05-16,PRIO-EN097C,21307
KICO-EN048,KING'S COURT,2021-07-09,KICO-EN048SR,21308
NUMH-EN029,NUMBER HUNTERS,2013-07-12,NUMH-EN029SE,21309
BLAR-EN025,BATTLES OF LEGEND: ARMAGEDDON,2020-07-24,BLAR-EN025UR,21310
MZTM-EN095,MAZE OF THE MASTER,2025-03-14,MZTM-EN095R,21311
BROL-EN030,BROTHERS OF LEGEND,2021-12-03,BROL-EN030SE,21312
CT10-EN018,COLLECTIBLE TIN 2013 WAVE 2,2013-11-22,CT10-EN018SR,21313
YZ02-EN001,Yu-Gi-Oh! Zexal volume 2 Promotional Card,2012-12-04,YZ02-EN001UR,21314
DLCS-EN120,DRAGONS OF LEGEND: THE COMPLETE SERIES,2020-09-11,DLCS-EN120C,21315
DRL3-EN024,DRAGONS OF LEGEND -UNLEASHED-,2016-08-19,DRL3-EN024SE,21316
WIRA-EN050,WING RAIDERS,2016-02-12,WIRA-EN050SE,21317
YZ06-EN001,Yu-Gi-Oh! Zexal volume 6 Promotional Card,2015-02-03,YZ06-EN001UR,21318
CBLZ-EN046,COSMO BLAZER,2013-01-25,CBLZ-EN046UR,21319
BLC1-EN037,BATTLES OF LEGEND - CHAPTER 1,2024-02-23,BLC1-EN037UR,21320
NUMH-EN026,NUMBER HUNTERS,2013-07-12,NUMH-EN026SE,21321
WSUP-EN007,WORLD SUPERSTARS,2015-04-17,WSUP-EN007SR,21322
ZTIN-EN013,ZEXAL COLLECTION TIN,2013-03-08,ZTIN-EN013SR,21323
NUMH-EN030,NUMBER HUNTERS,2013-07-12,NUMH-EN030SE,21324
MP15-EN122,2015 MEGA-TINS MEGA PACK,2015-09-18,MP15-EN122C,21325
DUEA-EN094,DUELIST ALLIANCE,2014-08-15,DUEA-EN094C,21326
DLCS-EN121,DRAGONS OF LEGEND: THE COMPLETE SERIES,2020-09-11,DLCS-EN121C,21327
DRL3-EN025,DRAGONS OF LEGEND -UNLEASHED-,2016-08-19,DRL3-EN025UR,21328
DANE-EN092,DARK NEOSTORM,2019-05-03,DANE-EN092SR,21329
RA02-EN037,25TH ANNIVERSARY RARITY COLLECTION 2,2024-05-24,RA02-EN037SR,21330
GFP2-EN144,GHOSTS FROM THE PAST: THE 2ND HAUNTING,2022-05-06,GFP2-EN144UR,21331
BLHR-EN028,BATTLES OF LEGEND: HERO'S REVENGE,2019-07-12,BLHR-EN028UR,21332
JUSH-EN043,Justice Hunters,2025-08-01,JUSH-EN043R,21333
PGL3-EN073,PREMIUM GOLD: INFINITE GOLD,2016-03-18,PGL3-EN073GR,21334
ZTIN-EN002,ZEXAL COLLECTION TIN,2013-03-08,ZTIN-EN002UR,21335
LDS2-EN053,LEGENDARY DUELISTS: SEASON 2,2021-01-22,LDS2-EN053C,21336
BLLR-EN070,BATTLES OF LEGEND -LIGHT'S REVENGE-,2017-07-07,BLLR-EN070UR,21337
MP15-EN022,2015 MEGA-TINS MEGA PACK,2015-09-18,MP15-EN022UR,21338
PRIO-EN040,PRIMAL ORIGIN,2014-05-16,PRIO-EN040UR,21339
NUMH-EN031,NUMBER HUNTERS,2013-07-12,NUMH-EN031SR,21340
MP14-EN161,2014 MEGA-TINS MEGA PACK,2014-08-29,MP14-EN161R,21341
